,map_id
1911,R41027
1912,R40342
1913,R40039
1914,R41035
1915,R41106
1916,R40275
1917,R322849
1918,R40340
1919,R40337
1920,R41036
1921,R40336
1922,R39976
1923,R39977
1924,R40850
1925,R40335
1926,R40849
1927,R40855
1928,R40274
1929,R40282
1930,R39966
1931,R40034
1932,R40291
1933,R40844
1934,R40280
1935,R40272
1936,R40284
1937,R40204
1938,R40843
1939,R40211
1940,R40207
1941,R40825
1942,R40106
1943,R40826
1944,R39939
1945,R39916
1946,R40830
1947,R40202
1948,R40200
1949,R40209
1950,R40108
1951,R40824
1952,R40214
1953,R39938
1954,R40822
1955,R39729
1956,R35149
1957,R34326
1958,R34870
1959,R39937
1960,R39644
1961,R39727
1962,R34689
1963,R39936
1964,R39741
1965,R34687
1966,R34873
1967,R40821
1968,R309779
1969,R34156
1970,R34867
1971,R34151
1972,R33911
1973,R33909
1974,R304158
1975,R33908
1976,R34677
1977,R34864
1978,R33824
1979,R34679
1980,R34612
1981,R33910
1982,R34857
1983,R34145
1984,R34738
1985,R33811
1986,R34735
1987,R34729
1988,R33553
1989,R33814
1990,R33713
1991,R33463
1992,R34190
1993,R33714
1994,R33715
1995,R33710
1996,R34188
1997,R34361
1998,R33482
1999,R33549
2000,R33461
2001,R33702
2002,R33459
2003,R33535
2004,R33533
2005,R33705
2006,R33537
2007,R33704
2008,R34167
2009,R34170
2010,R33703
2011,R33534
2012,R33699
2013,R33531
2014,R33701
2015,R33457
2016,R33532
2017,R33455
2018,R33453
2019,R33440
2020,R33509
2021,R33508
2022,R33443
2023,R33442
2024,R34096
2025,R33676
2026,R33673
2027,R33506
2028,R33674
2029,R319120
2030,R33415
2031,R33672
2032,R33671
2033,R33669
2034,R34094
2035,R34091
2036,R33668
2037,R33670
2038,R313886
2039,R312931
2040,R33413
2041,R320041
2042,R33406
2043,R33754
2044,R33409
2045,R33096
2046,R33411
2047,R33753
2048,R33402
2049,R33391
2050,R33747
2051,R37100
2052,R33396
2053,R32440
2054,R33295
2055,R37098
2056,R320792
2057,R322433
2058,R33292
2059,R32927
2060,R33293
2061,R32266
2062,R33291
2063,R33294
2064,R32812
2065,R37096
2066,R37059
2067,R36809
2068,R36558
2069,R36024
2070,R36559
2071,R36008
2072,R37051
2073,R36576
2074,R36011
2075,R37039
2076,R37037
2077,R36803
2078,R36013
2079,R37035
2080,R36560
2081,R36554
2082,R37033
2083,R36780
2084,R36963
2085,R36784
2086,R36526
2087,R36954
2088,R36722
2089,R36960
2090,R36786
2091,R35985
2092,R36957
2093,R35986
2094,R35987
2095,R36778
2096,R36724
2097,R36950
2098,R36692
2099,R36687
2100,R36685
2101,R35972
2102,R36511
2103,R36689
2104,R36660
2105,R36681
2106,R36679
2107,R36453
2108,R36452
2109,R36677
2110,R36450
2111,R320716
2112,R36921
2113,R36634
2114,R36441
2115,R35935
2116,R36625
2117,R36438
2118,R36647
2119,R321718
2120,R36657
2121,R36654
2122,R36437
2123,R35932
2124,R36445
2125,R316262
2126,R35931
2127,R35936
2128,R36442
2129,R36611
2130,R35920
2131,R35047
2132,R35832
2133,R36395
2134,R36321
2135,R35040
2136,R36477
2137,R35831
2138,R36431
2139,R36393
2140,R35619
2141,R35625
2142,R36394
2143,R36359
2144,R35666
2145,R35420
2146,R35611
2147,R35425
2148,R35628
2149,R35634
2150,R35006
2151,R35414
2152,R35630
2153,R35416
2154,R35632
2155,R314549
2156,R35423
2157,R35418
2158,R35013
2159,R314506
2160,R35429
2162,R314402
2163,R314405
2164,R322568
2166,R314401
2168,R314397
2169,R314398
2170,R314403
2171,R322567
2172,R314396
2173,R314260
2174,R319763
2175,R322888
2176,R314258
2177,R314189
2178,R314259
2182,R321958
2183,R313574
2186,R314122
2188,R313301
2191,R313415
2193,R21579
2194,R21534
2195,R21467
2196,R316247
2197,R21583
2199,R21716
2200,R21717
2201,R314100
2202,R20866
2205,R21718
2207,R20869
2208,R21536
2218,R21287
2223,R312769
2227,R312609
2237,R312608
2239,R312508
2252,R20986
2253,R311258
2254,R311657
2256,R20983
2259,R319992
2260,R20245
2261,R22215
2262,R23161
2263,R23419
2264,R320258
2265,R22924
2266,R319994
2267,R22920
2268,R320221
2269,R319993
2270,R23415
2271,R22211
2279,R22916
2280,R22208
2285,R23152
2288,R23411
2296,R319590
2298,R319588
2326,R318990
2332,R319089
2353,R323646
2355,R318428
2358,R305268
2363,R17764
2365,R10721
2366,R16883
2367,R16635
2368,R301593
2369,R301613
2370,R301616
2371,R18020
2374,R307433
2375,R17994
2376,R307425
2379,R307430
2380,R307416
2381,R307756
2382,R18626
2383,R304087
2388,R60117
2389,R58672
2390,R58773
2392,R63546
2394,R58779
2395,R60214
2400,R15073
2401,R15697
2403,R15745
2408,R300497
2409,R300434
2410,R300438
2411,R16384
2412,R300450
2413,R300435
2414,R16695
2415,R15837
2416,R16375
2417,R15795
2418,R15750
2419,R16346
2420,R16685
2421,R16368
2422,R11584
2423,R16684
2424,R16679
2425,R16678
2426,R16402
2427,R15689
2428,R16423
2429,R16426
2430,R16438
2431,R16407
2432,R16672
2433,R15685
2434,R15665
2435,R300426
2437,R16404
2438,R300406
2439,R15402
2440,R300354
2441,R300369
2442,R300325
2443,R300287
2444,R300298
2445,R16168
2446,R63463
2447,R62599
2448,R62668
2456,R16412
2457,R11569
2482,R11565
2488,R16665
2491,R308720
2493,R16266
2495,R15604
2497,R16226
2498,R15592
2500,R16154
2503,R16598
2504,R16601
2505,R10153
2507,R16315
2510,R16190
2511,R16182
2512,R16295
2513,R16287
2514,R16264
2515,R11573
2516,R10150
2517,R16271
2518,R10565
2519,R16510
2520,R15529
2521,R16514
2522,R16111
2523,R16498
2524,R16119
2525,R16131
2526,R16546
2527,R15465
2530,R15462
2540,R16096
2541,R16382
2542,R16062
2556,R16050
2560,R15293
2562,R15929
2563,R16472
2564,R15289
2565,R318025
2567,R10699
2570,R16367
2572,R16261
2573,R301068
2574,R301065
2575,R301048
2576,R301062
